Hour,Reward,Loss
0,-0.6717332101953033,0.20267711266924354
1,-0.6717332101953033,0.20267711266924354
2,-0.6717332101953033,0.20267711266924354
3,-0.6717332101953033,0.20267711266924354
4,-0.6717332101953033,0.20267711266924354
5,-0.6717332101953033,0.20267711266924354
6,-0.6717332101953033,0.20267711266924354
7,-0.6717332101953033,0.20267711266924354
8,-0.6717332101953033,0.20267711266924354
9,-0.6717332101953033,0.20267711266924354
10,-0.6717332101953033,0.20267711266924354
11,-0.6717332101953033,0.20267711266924354
12,-0.6717332101953033,0.20267711266924354
13,-0.6717332101953033,0.20267711266924354
14,-0.6717332101953033,0.20267711266924354
15,-0.6717332101953033,0.20267711266924354
16,-0.6717332101953033,0.20267711266924354
17,-0.6717332101953033,0.20267711266924354
18,-0.6717332101953033,0.20267711266924354
19,-0.6717332101953033,0.20267711266924354
20,-0.6717332101953033,0.20267711266924354
21,-0.6717332101953033,0.20267711266924354
22,-0.6717332101953033,0.20267711266924354
23,-0.6717332101953033,0.20267711266924354
